"","condition","stimulus_number","trial_number","block_number","sequence","stimulus_position_in_trial","stimulus_id","stimulus_trigger_code","sequence_id","block_id"
"1333","unstructured",1333,165,5,"F.E3.B.D.E1.C1.A3.C3.",3,"B",4,22,4
"1334","unstructured",1334,165,5,"F.E3.B.D.E1.C1.A3.C3.",4,"D",14,22,4
"1335","unstructured",1335,165,5,"F.E3.B.D.E1.C1.A3.C3.",5,"E1",21,22,4
"1336","unstructured",1336,165,5,"F.E3.B.D.E1.C1.A3.C3.",6,"C1",11,22,4
"1337","unstructured",1337,165,5,"F.E3.B.D.E1.C1.A3.C3.",7,"A3",3,22,4
"1338","unstructured",1338,165,5,"F.E3.B.D.E1.C1.A3.C3.",8,"C3",13,22,4
"1339","unstructured",1339,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1340","unstructured",1340,NA,NA,NA,0,"silence_interblock_1250ms",99,NA,NA
"1341","unstructured",1341,166,6,"C2.A2.B.F.A1.B.",1,"C2",12,6,7
"1342","unstructured",1342,166,6,"C2.A2.B.F.A1.B.",2,"A2",2,6,7
"1343","unstructured",1343,166,6,"C2.A2.B.F.A1.B.",3,"B",4,6,7
"1344","unstructured",1344,166,6,"C2.A2.B.F.A1.B.",4,"F",24,6,7
"1345","unstructured",1345,166,6,"C2.A2.B.F.A1.B.",5,"A1",1,6,7
"1346","unstructured",1346,166,6,"C2.A2.B.F.A1.B.",6,"B",4,6,7
"1347","unstructured",1347,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1348","unstructured",1348,167,6,"C1.A3.E2.B.D.F.",1,"C1",11,8,7
"1349","unstructured",1349,167,6,"C1.A3.E2.B.D.F.",2,"A3",3,8,7
"1350","unstructured",1350,167,6,"C1.A3.E2.B.D.F.",3,"E2",22,8,7
"1351","unstructured",1351,167,6,"C1.A3.E2.B.D.F.",4,"B",4,8,7
"1352","unstructured",1352,167,6,"C1.A3.E2.B.D.F.",5,"D",14,8,7
"1353","unstructured",1353,167,6,"C1.A3.E2.B.D.F.",6,"F",24,8,7
"1354","unstructured",1354,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1355","unstructured",1355,168,6,"F.D.B.E2.A2.C2.",1,"F",24,5,7
"1356","unstructured",1356,168,6,"F.D.B.E2.A2.C2.",2,"D",14,5,7
"1357","unstructured",1357,168,6,"F.D.B.E2.A2.C2.",3,"B",4,5,7
"1358","unstructured",1358,168,6,"F.D.B.E2.A2.C2.",4,"E2",22,5,7
"1359","unstructured",1359,168,6,"F.D.B.E2.A2.C2.",5,"A2",2,5,7
"1360","unstructured",1360,168,6,"F.D.B.E2.A2.C2.",6,"C2",12,5,7
"1361","unstructured",1361,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1362","unstructured",1362,169,6,"D.C3.F.C1.E2.F.",1,"D",14,12,7
"1363","unstructured",1363,169,6,"D.C3.F.C1.E2.F.",2,"C3",13,12,7
"1364","unstructured",1364,169,6,"D.C3.F.C1.E2.F.",3,"F",24,12,7
"1365","unstructured",1365,169,6,"D.C3.F.C1.E2.F.",4,"C1",11,12,7
"1366","unstructured",1366,169,6,"D.C3.F.C1.E2.F.",5,"E2",22,12,7
"1367","unstructured",1367,169,6,"D.C3.F.C1.E2.F.",6,"F",24,12,7
"1368","unstructured",1368,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"1369","unstructured",1369,170,6,"B.F.A2.C3.D.A2.E3.B.",1,"B",4,16,7
"1370","unstructured",1370,170,6,"B.F.A2.C3.D.A2.E3.B.",2,"F",24,16,7
"1371","unstructured",1371,170,6,"B.F.A2.C3.D.A2.E3.B.",3,"A2",2,16,7
"1372","unstructured",1372,170,6,"B.F.A2.C3.D.A2.E3.B.",4,"C3",13,16,7
