"","condition","stimulus_number","trial_number","block_number","sequence","stimulus_position_in_trial","stimulus_id","stimulus_trigger_code","sequence_id","block_id"
"1","local",1,1,1,"E2.F.C1.D.E3.F.C2.D.",1,"E2",22,27,13
"2","local",2,1,1,"E2.F.C1.D.E3.F.C2.D.",2,"F",24,27,13
"3","local",3,1,1,"E2.F.C1.D.E3.F.C2.D.",3,"C1",11,27,13
"4","local",4,1,1,"E2.F.C1.D.E3.F.C2.D.",4,"D",14,27,13
"5","local",5,1,1,"E2.F.C1.D.E3.F.C2.D.",5,"E3",23,27,13
"6","local",6,1,1,"E2.F.C1.D.E3.F.C2.D.",6,"F",24,27,13
"7","local",7,1,1,"E2.F.C1.D.E3.F.C2.D.",7,"C2",12,27,13
"8","local",8,1,1,"E2.F.C1.D.E3.F.C2.D.",8,"D",14,27,13
"9","local",9,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"10","local",10,2,1,"C2.D.E2.F.C3.D.",1,"C2",12,5,13
"11","local",11,2,1,"C2.D.E2.F.C3.D.",2,"D",14,5,13
"12","local",12,2,1,"C2.D.E2.F.C3.D.",3,"E2",22,5,13
"13","local",13,2,1,"C2.D.E2.F.C3.D.",4,"F",24,5,13
"14","local",14,2,1,"C2.D.E2.F.C3.D.",5,"C3",13,5,13
"15","local",15,2,1,"C2.D.E2.F.C3.D.",6,"D",14,5,13
"16","local",16,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"17","local",17,3,1,"E3.F.A3.B.E1.F.A2.B.",1,"E3",23,32,13
"18","local",18,3,1,"E3.F.A3.B.E1.F.A2.B.",2,"F",24,32,13
"19","local",19,3,1,"E3.F.A3.B.E1.F.A2.B.",3,"A3",3,32,13
"20","local",20,3,1,"E3.F.A3.B.E1.F.A2.B.",4,"B",4,32,13
"21","local",21,3,1,"E3.F.A3.B.E1.F.A2.B.",5,"E1",21,32,13
"22","local",22,3,1,"E3.F.A3.B.E1.F.A2.B.",6,"F",24,32,13
"23","local",23,3,1,"E3.F.A3.B.E1.F.A2.B.",7,"A2",2,32,13
"24","local",24,3,1,"E3.F.A3.B.E1.F.A2.B.",8,"B",4,32,13
"25","local",25,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"26","local",26,4,1,"A3.B.E3.F.A1.B.",1,"A3",3,8,13
"27","local",27,4,1,"A3.B.E3.F.A1.B.",2,"B",4,8,13
"28","local",28,4,1,"A3.B.E3.F.A1.B.",3,"E3",23,8,13
"29","local",29,4,1,"A3.B.E3.F.A1.B.",4,"F",24,8,13
"30","local",30,4,1,"A3.B.E3.F.A1.B.",5,"A1",1,8,13
"31","local",31,4,1,"A3.B.E3.F.A1.B.",6,"B",4,8,13
"32","local",32,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"33","local",33,5,1,"E2.F.A3.B.C2.D.E3.F.",1,"E2",22,14,13
"34","local",34,5,1,"E2.F.A3.B.C2.D.E3.F.",2,"F",24,14,13
"35","local",35,5,1,"E2.F.A3.B.C2.D.E3.F.",3,"A3",3,14,13
"36","local",36,5,1,"E2.F.A3.B.C2.D.E3.F.",4,"B",4,14,13
"37","local",37,5,1,"E2.F.A3.B.C2.D.E3.F.",5,"C2",12,14,13
"38","local",38,5,1,"E2.F.A3.B.C2.D.E3.F.",6,"D",14,14,13
"39","local",39,5,1,"E2.F.A3.B.C2.D.E3.F.",7,"E3",23,14,13
"40","local",40,5,1,"E2.F.A3.B.C2.D.E3.F.",8,"F",24,14,13
"41","local",41,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"42","local",42,6,1,"A2.B.C2.D.E3.F.A3.B.",1,"A2",2,15,13
"43","local",43,6,1,"A2.B.C2.D.E3.F.A3.B.",2,"B",4,15,13
"44","local",44,6,1,"A2.B.C2.D.E3.F.A3.B.",3,"C2",12,15,13
"45","local",45,6,1,"A2.B.C2.D.E3.F.A3.B.",4,"D",14,15,13
"46","local",46,6,1,"A2.B.C2.D.E3.F.A3.B.",5,"E3",23,15,13
"47","local",47,6,1,"A2.B.C2.D.E3.F.A3.B.",6,"F",24,15,13
"48","local",48,6,1,"A2.B.C2.D.E3.F.A3.B.",7,"A3",3,15,13
"49","local",49,6,1,"A2.B.C2.D.E3.F.A3.B.",8,"B",4,15,13
"50","local",50,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"51","local",51,7,1,"E3.F.C1.D.A2.B.C2.D.",1,"E3",23,20,13
"52","local",52,7,1,"E3.F.C1.D.A2.B.C2.D.",2,"F",24,20,13
"53","local",53,7,1,"E3.F.C1.D.A2.B.C2.D.",3,"C1",11,20,13
"54","local",54,7,1,"E3.F.C1.D.A2.B.C2.D.",4,"D",14,20,13
"55","local",55,7,1,"E3.F.C1.D.A2.B.C2.D.",5,"A2",2,20,13
"56","local",56,7,1,"E3.F.C1.D.A2.B.C2.D.",6,"B",4,20,13
"57","local",57,7,1,"E3.F.C1.D.A2.B.C2.D.",7,"C2",12,20,13
"58","local",58,7,1,"E3.F.C1.D.A2.B.C2.D.",8,"D",14,20,13
"59","local",59,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"60","local",60,8,1,"E1.F.A2.B.C3.D.A1.B.",1,"E1",21,18,13
"61","local",61,8,1,"E1.F.A2.B.C3.D.A1.B.",2,"F",24,18,13
"62","local",62,8,1,"E1.F.A2.B.C3.D.A1.B.",3,"A2",2,18,13
