"","condition","stimulus_number","trial_number","block_number","sequence","stimulus_position_in_trial","stimulus_id","stimulus_trigger_code","sequence_id","block_id"
"1","unstructured",1,1,1,"E1.D.F.A3.F.C3.D.B.",1,"E1",21,21,14
"2","unstructured",2,1,1,"E1.D.F.A3.F.C3.D.B.",2,"D",14,21,14
"3","unstructured",3,1,1,"E1.D.F.A3.F.C3.D.B.",3,"F",24,21,14
"4","unstructured",4,1,1,"E1.D.F.A3.F.C3.D.B.",4,"A3",3,21,14
"5","unstructured",5,1,1,"E1.D.F.A3.F.C3.D.B.",5,"F",24,21,14
"6","unstructured",6,1,1,"E1.D.F.A3.F.C3.D.B.",6,"C3",13,21,14
"7","unstructured",7,1,1,"E1.D.F.A3.F.C3.D.B.",7,"D",14,21,14
"8","unstructured",8,1,1,"E1.D.F.A3.F.C3.D.B.",8,"B",4,21,14
"9","unstructured",9,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"10","unstructured",10,2,1,"D.F.B.E1.C2.F.D.A2.",1,"D",14,15,14
"11","unstructured",11,2,1,"D.F.B.E1.C2.F.D.A2.",2,"F",24,15,14
"12","unstructured",12,2,1,"D.F.B.E1.C2.F.D.A2.",3,"B",4,15,14
"13","unstructured",13,2,1,"D.F.B.E1.C2.F.D.A2.",4,"E1",21,15,14
"14","unstructured",14,2,1,"D.F.B.E1.C2.F.D.A2.",5,"C2",12,15,14
"15","unstructured",15,2,1,"D.F.B.E1.C2.F.D.A2.",6,"F",24,15,14
"16","unstructured",16,2,1,"D.F.B.E1.C2.F.D.A2.",7,"D",14,15,14
"17","unstructured",17,2,1,"D.F.B.E1.C2.F.D.A2.",8,"A2",2,15,14
"18","unstructured",18,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"19","unstructured",19,3,1,"B.C3.B.F.A1.E2.D.E3.",1,"B",4,27,14
"20","unstructured",20,3,1,"B.C3.B.F.A1.E2.D.E3.",2,"C3",13,27,14
"21","unstructured",21,3,1,"B.C3.B.F.A1.E2.D.E3.",3,"B",4,27,14
"22","unstructured",22,3,1,"B.C3.B.F.A1.E2.D.E3.",4,"F",24,27,14
"23","unstructured",23,3,1,"B.C3.B.F.A1.E2.D.E3.",5,"A1",1,27,14
"24","unstructured",24,3,1,"B.C3.B.F.A1.E2.D.E3.",6,"E2",22,27,14
"25","unstructured",25,3,1,"B.C3.B.F.A1.E2.D.E3.",7,"D",14,27,14
"26","unstructured",26,3,1,"B.C3.B.F.A1.E2.D.E3.",8,"E3",23,27,14
"27","unstructured",27,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"28","unstructured",28,4,1,"A3.E3.B.D.F.C1.D.F.",1,"A3",3,30,14
"29","unstructured",29,4,1,"A3.E3.B.D.F.C1.D.F.",2,"E3",23,30,14
"30","unstructured",30,4,1,"A3.E3.B.D.F.C1.D.F.",3,"B",4,30,14
"31","unstructured",31,4,1,"A3.E3.B.D.F.C1.D.F.",4,"D",14,30,14
"32","unstructured",32,4,1,"A3.E3.B.D.F.C1.D.F.",5,"F",24,30,14
"33","unstructured",33,4,1,"A3.E3.B.D.F.C1.D.F.",6,"C1",11,30,14
"34","unstructured",34,4,1,"A3.E3.B.D.F.C1.D.F.",7,"D",14,30,14
"35","unstructured",35,4,1,"A3.E3.B.D.F.C1.D.F.",8,"F",24,30,14
"36","unstructured",36,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"37","unstructured",37,5,1,"E2.F.B.E1.B.D.",1,"E2",22,4,14
"38","unstructured",38,5,1,"E2.F.B.E1.B.D.",2,"F",24,4,14
"39","unstructured",39,5,1,"E2.F.B.E1.B.D.",3,"B",4,4,14
"40","unstructured",40,5,1,"E2.F.B.E1.B.D.",4,"E1",21,4,14
"41","unstructured",41,5,1,"E2.F.B.E1.B.D.",5,"B",4,4,14
"42","unstructured",42,5,1,"E2.F.B.E1.B.D.",6,"D",14,4,14
"43","unstructured",43,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"44","unstructured",44,6,1,"F.D.E1.F.B.D.",1,"F",24,7,14
"45","unstructured",45,6,1,"F.D.E1.F.B.D.",2,"D",14,7,14
"46","unstructured",46,6,1,"F.D.E1.F.B.D.",3,"E1",21,7,14
"47","unstructured",47,6,1,"F.D.E1.F.B.D.",4,"F",24,7,14
"48","unstructured",48,6,1,"F.D.E1.F.B.D.",5,"B",4,7,14
"49","unstructured",49,6,1,"F.D.E1.F.B.D.",6,"D",14,7,14
"50","unstructured",50,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"51","unstructured",51,7,1,"C1.B.A1.E1.C2.A2.B.E3.",1,"C1",11,28,14
"52","unstructured",52,7,1,"C1.B.A1.E1.C2.A2.B.E3.",2,"B",4,28,14
"53","unstructured",53,7,1,"C1.B.A1.E1.C2.A2.B.E3.",3,"A1",1,28,14
"54","unstructured",54,7,1,"C1.B.A1.E1.C2.A2.B.E3.",4,"E1",21,28,14
"55","unstructured",55,7,1,"C1.B.A1.E1.C2.A2.B.E3.",5,"C2",12,28,14
"56","unstructured",56,7,1,"C1.B.A1.E1.C2.A2.B.E3.",6,"A2",2,28,14
"57","unstructured",57,7,1,"C1.B.A1.E1.C2.A2.B.E3.",7,"B",4,28,14
"58","unstructured",58,7,1,"C1.B.A1.E1.C2.A2.B.E3.",8,"E3",23,28,14
"59","unstructured",59,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"60","unstructured",60,8,1,"F.E2.D.A3.E2.B.C3.B.",1,"F",24,22,14
"61","unstructured",61,8,1,"F.E2.D.A3.E2.B.C3.B.",2,"E2",22,22,14
"62","unstructured",62,8,1,"F.E2.D.A3.E2.B.C3.B.",3,"D",14,22,14
