"","condition","stimulus_number","trial_number","block_number","sequence","stimulus_position_in_trial","stimulus_id","stimulus_trigger_code","sequence_id","block_id"
"1","local",1,1,1,"C3.D.E2.F.C1.D.E1.F.",1,"C3",13,31,7
"2","local",2,1,1,"C3.D.E2.F.C1.D.E1.F.",2,"D",14,31,7
"3","local",3,1,1,"C3.D.E2.F.C1.D.E1.F.",3,"E2",22,31,7
"4","local",4,1,1,"C3.D.E2.F.C1.D.E1.F.",4,"F",24,31,7
"5","local",5,1,1,"C3.D.E2.F.C1.D.E1.F.",5,"C1",11,31,7
"6","local",6,1,1,"C3.D.E2.F.C1.D.E1.F.",6,"D",14,31,7
"7","local",7,1,1,"C3.D.E2.F.C1.D.E1.F.",7,"E1",21,31,7
"8","local",8,1,1,"C3.D.E2.F.C1.D.E1.F.",8,"F",24,31,7
"9","local",9,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"10","local",10,2,1,"A3.B.C3.D.A1.B.C2.D.",1,"A3",3,33,7
"11","local",11,2,1,"A3.B.C3.D.A1.B.C2.D.",2,"B",4,33,7
"12","local",12,2,1,"A3.B.C3.D.A1.B.C2.D.",3,"C3",13,33,7
"13","local",13,2,1,"A3.B.C3.D.A1.B.C2.D.",4,"D",14,33,7
"14","local",14,2,1,"A3.B.C3.D.A1.B.C2.D.",5,"A1",1,33,7
"15","local",15,2,1,"A3.B.C3.D.A1.B.C2.D.",6,"B",4,33,7
"16","local",16,2,1,"A3.B.C3.D.A1.B.C2.D.",7,"C2",12,33,7
"17","local",17,2,1,"A3.B.C3.D.A1.B.C2.D.",8,"D",14,33,7
"18","local",18,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"19","local",19,3,1,"E1.F.C1.D.A2.B.",1,"E1",21,10,7
"20","local",20,3,1,"E1.F.C1.D.A2.B.",2,"F",24,10,7
"21","local",21,3,1,"E1.F.C1.D.A2.B.",3,"C1",11,10,7
"22","local",22,3,1,"E1.F.C1.D.A2.B.",4,"D",14,10,7
"23","local",23,3,1,"E1.F.C1.D.A2.B.",5,"A2",2,10,7
"24","local",24,3,1,"E1.F.C1.D.A2.B.",6,"B",4,10,7
"25","local",25,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"26","local",26,4,1,"A1.B.C2.D.E3.F.C1.D.",1,"A1",1,16,7
"27","local",27,4,1,"A1.B.C2.D.E3.F.C1.D.",2,"B",4,16,7
"28","local",28,4,1,"A1.B.C2.D.E3.F.C1.D.",3,"C2",12,16,7
"29","local",29,4,1,"A1.B.C2.D.E3.F.C1.D.",4,"D",14,16,7
"30","local",30,4,1,"A1.B.C2.D.E3.F.C1.D.",5,"E3",23,16,7
"31","local",31,4,1,"A1.B.C2.D.E3.F.C1.D.",6,"F",24,16,7
"32","local",32,4,1,"A1.B.C2.D.E3.F.C1.D.",7,"C1",11,16,7
"33","local",33,4,1,"A1.B.C2.D.E3.F.C1.D.",8,"D",14,16,7
"34","local",34,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"35","local",35,5,1,"E2.F.C2.D.A2.B.C3.D.",1,"E2",22,20,7
"36","local",36,5,1,"E2.F.C2.D.A2.B.C3.D.",2,"F",24,20,7
"37","local",37,5,1,"E2.F.C2.D.A2.B.C3.D.",3,"C2",12,20,7
"38","local",38,5,1,"E2.F.C2.D.A2.B.C3.D.",4,"D",14,20,7
"39","local",39,5,1,"E2.F.C2.D.A2.B.C3.D.",5,"A2",2,20,7
"40","local",40,5,1,"E2.F.C2.D.A2.B.C3.D.",6,"B",4,20,7
"41","local",41,5,1,"E2.F.C2.D.A2.B.C3.D.",7,"C3",13,20,7
"42","local",42,5,1,"E2.F.C2.D.A2.B.C3.D.",8,"D",14,20,7
"43","local",43,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"44","local",44,6,1,"A2.B.E3.F.C2.D.",1,"A2",2,11,7
"45","local",45,6,1,"A2.B.E3.F.C2.D.",2,"B",4,11,7
"46","local",46,6,1,"A2.B.E3.F.C2.D.",3,"E3",23,11,7
"47","local",47,6,1,"A2.B.E3.F.C2.D.",4,"F",24,11,7
"48","local",48,6,1,"A2.B.E3.F.C2.D.",5,"C2",12,11,7
"49","local",49,6,1,"A2.B.E3.F.C2.D.",6,"D",14,11,7
"50","local",50,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"51","local",51,7,1,"E3.F.A2.B.C1.D.A1.B.",1,"E3",23,18,7
"52","local",52,7,1,"E3.F.A2.B.C1.D.A1.B.",2,"F",24,18,7
"53","local",53,7,1,"E3.F.A2.B.C1.D.A1.B.",3,"A2",2,18,7
"54","local",54,7,1,"E3.F.A2.B.C1.D.A1.B.",4,"B",4,18,7
"55","local",55,7,1,"E3.F.A2.B.C1.D.A1.B.",5,"C1",11,18,7
"56","local",56,7,1,"E3.F.A2.B.C1.D.A1.B.",6,"D",14,18,7
"57","local",57,7,1,"E3.F.A2.B.C1.D.A1.B.",7,"A1",1,18,7
"58","local",58,7,1,"E3.F.A2.B.C1.D.A1.B.",8,"B",4,18,7
"59","local",59,NA,NA,NA,0,"silence_intersequence_250ms",90,NA,NA
"60","local",60,8,1,"A1.B.E1.F.",1,"A1",1,3,7
